# Displaying trades for selected time interval: All
name,date,quantity,price,state
Granite maul,2026-01-17 09:25 AM,20,217177,CANCELLED_BUY
Granite maul,2026-01-17 09:42 AM,20,220592,SOLD
# Total profit: 104543

Magic shortbow scroll,2026-01-17 07:30 AM,20,33422,CANCELLED_BUY
Magic shortbow scroll,2026-01-17 07:32 AM,20,33862,SOLD
# Total profit: 8800

Dragon chainbody,2026-01-17 07:27 AM,2,449102,CANCELLED_BUY
Dragon chainbody,2026-01-17 07:32 AM,2,457232,SOLD
# Total profit: 16260

Serpentine helm (uncharged),2026-01-17 07:22 AM,1,3475388,SOLD
# Total profit: 0

Blood rune,2026-01-17 07:19 AM,25000,212,BOUGHT
Blood rune,2026-01-17 07:23 AM,25000,214,SOLD
Blood rune,2026-01-31 11:27 AM,7870,216,BOUGHT
Blood rune,2026-01-31 11:33 AM,24018,220,SOLD
Blood rune,2026-01-31 11:58 AM,23393,216,BOUGHT
Blood rune,2026-01-31 12:06 PM,23393,219,SOLD
Blood rune,2026-01-31 03:55 PM,10498,214,BOUGHT
Blood rune,2026-01-31 03:56 PM,10498,218,SOLD
Blood rune,2026-01-31 06:59 PM,1617,218,CANCELLED_BUY
# Total profit: 221914

Rune mace,2026-01-17 07:20 AM,70,7350,BOUGHT
Rune mace,2026-01-17 07:24 AM,30,8201,CANCELLED_SELL
Rune mace,2026-01-17 07:25 AM,40,8200,SOLD
# Total profit: 59530

Moonlight antler bolts,2026-01-17 07:18 AM,34,160,CANCELLED_BUY
Moonlight antler bolts,2026-01-17 07:21 AM,34,168,SOLD
# Total profit: 272

Blighted ancient ice sack,2026-01-17 07:17 AM,15000,164,SOLD
# Total profit: 0

Ancient staff,2026-01-17 07:17 AM,19,59533,BOUGHT
Ancient staff,2026-01-17 07:21 AM,3,60555,CANCELLED_SELL
Ancient staff,2026-01-17 07:27 AM,13,60426,CANCELLED_SELL
Ancient staff,2026-01-17 07:29 AM,3,60228,SOLD
# Total profit: 16760

Jug of wine,2026-01-16 07:57 PM,2914,5,SOLD
# Total profit: 0

Snowy knight,2026-01-16 07:56 PM,1,1479,SOLD
# Total profit: 0

Redberries,2026-01-16 07:55 PM,3,55,SOLD
# Total profit: 0

Bandit's brew,2026-01-16 07:55 PM,1,1642,SOLD
# Total profit: 0

Adamant warhammer,2026-01-16 07:55 PM,1,2744,SOLD
# Total profit: 0

Adamant 2h sword,2026-01-16 07:54 PM,1,3662,SOLD
# Total profit: 0

Dragonstone bolt tips,2026-01-16 07:54 PM,36,504,SOLD
# Total profit: 0

Pestle and mortar,2026-01-16 07:49 PM,2,68,SOLD
# Total profit: 0

Yew longbow (u),2026-01-16 07:51 PM,10000,352,BOUGHT
Yew longbow (u),2026-01-16 08:01 PM,10000,359,SOLD
Yew longbow (u),2026-01-17 07:39 AM,10000,352,BOUGHT
Yew longbow (u),2026-01-17 07:45 AM,10000,363,SOLD
Yew longbow (u),2026-01-31 05:49 PM,6803,260,BOUGHT
Yew longbow (u),2026-01-31 05:51 PM,1537,264,SOLD
Yew longbow (u),2026-01-31 06:20 PM,5266,261,SOLD
# Total profit: 191414

Black dragonhide,2026-01-16 07:48 PM,1,2612,SOLD
# Total profit: 0

Vial of water,2026-01-16 07:47 PM,6,3,SOLD
# Total profit: 0

Ensouled troll head,2026-01-16 07:47 PM,2,571,SOLD
# Total profit: 0

Cup of tea,2026-01-16 07:47 PM,2,98,SOLD
# Total profit: 0

Xerician fabric,2026-01-16 07:47 PM,3,3167,SOLD
# Total profit: 0

Seaweed,2026-01-16 07:47 PM,29,6,SOLD
# Total profit: 0

Blue flowers,2026-01-16 07:46 PM,1,294,SOLD
# Total profit: 0

Thin snail meat,2026-01-16 07:46 PM,1,854,SOLD
# Total profit: 0

Rune chainbody,2026-01-16 07:45 PM,1,29297,SOLD
# Total profit: 0

Raw chompy,2026-01-16 07:45 PM,4,2028,SOLD
# Total profit: 0

Mithril chainbody,2026-01-16 07:45 PM,1,1049,SOLD
# Total profit: 0

Rune kiteshield,2026-01-16 07:45 PM,3,31478,SOLD
# Total profit: 0

Blue feather,2026-01-16 07:44 PM,6,53,SOLD
# Total profit: 0

Team-34 cape,2026-01-16 07:44 PM,1,8820,SOLD
# Total profit: 0

Adamant crossbow,2026-01-16 07:42 PM,1,784,SOLD
# Total profit: 0

Jug,2026-01-16 07:41 PM,29,2,SOLD
# Total profit: 0

Grey wolf fur,2026-01-16 07:41 PM,1,16,SOLD
# Total profit: 0

Adamant axe,2026-01-16 07:40 PM,1,435,SOLD
# Total profit: 0

Saradomin brew(1),2026-01-16 07:39 PM,1,2205,SOLD
# Total profit: 0

Choc-ice,2026-01-16 07:39 PM,1,128,SOLD
# Total profit: 0

Red topaz,2026-01-16 07:39 PM,1,4920,SOLD
# Total profit: 0

Looting bag note,2026-01-16 08:05 PM,38,83495,BOUGHT
Looting bag note,2026-01-17 07:36 AM,2,82590,CANCELLED_BUY
Looting bag note,2026-01-17 07:36 AM,2,85239,SOLD
Looting bag note,2026-01-17 07:40 AM,1,82970,CANCELLED_BUY
Looting bag note,2026-01-17 07:40 AM,1,85128,SOLD
# Total profit: 5121

Steel scimitar,2026-01-16 07:35 PM,1,100,SOLD
# Total profit: 0

Adamant battleaxe,2026-01-16 07:35 PM,2,2343,SOLD
# Total profit: 0

Harralander seed,2026-01-16 07:30 PM,1,11,SOLD
# Total profit: 0

Cabbage seed,2026-01-16 07:30 PM,1,2,SOLD
# Total profit: 0

Bronze spear,2026-01-16 07:30 PM,1,81,SOLD
# Total profit: 0

Blue dragonhide,2026-01-16 07:30 PM,1,1611,SOLD
# Total profit: 0

Mithril seeds,2026-01-16 07:30 PM,40,719,SOLD
# Total profit: 0

Black nails,2026-01-16 07:28 PM,4,6591,SOLD
# Total profit: 0

Earth battlestaff,2026-01-16 07:30 PM,254,8855,CANCELLED_SELL
Earth battlestaff,2026-01-16 07:30 PM,746,8854,SOLD
# Total profit: 0

Blighted anglerfish,2026-01-16 07:47 PM,10000,92,BOUGHT
Blighted anglerfish,2026-01-16 07:57 PM,1379,98,SELLING
# Total profit: 8274

Cake tin,2026-01-16 07:23 PM,2,80,SOLD
# Total profit: 0

Iron nails,2026-01-16 07:23 PM,26,4,SOLD
# Total profit: 0

Gadderhammer,2026-01-16 07:23 PM,1,784,SOLD
# Total profit: 0

Barrel,2026-01-16 07:22 PM,5,833,SOLD
# Total profit: 0

Apple tree seed,2026-01-16 07:20 PM,1,29,SOLD
# Total profit: 0

Zogre bones,2026-01-16 07:20 PM,2,1470,SOLD
# Total profit: 0

Shark paint,2026-01-16 07:20 PM,2,1470,SOLD
# Total profit: 0

Oyster pearls,2026-01-16 07:19 PM,2,662,SOLD
# Total profit: 0

Bird nest,2026-01-16 07:19 PM,1,4784,SOLD
# Total profit: 0

Jade amulet,2026-01-16 07:17 PM,1,1715,SOLD
# Total profit: 0

Amethyst arrow,2026-01-16 07:17 PM,4,245,SOLD
# Total profit: 0

Ruby necklace,2026-01-16 07:17 PM,6,1133,SOLD
# Total profit: 0

Amulet of strength,2026-01-16 07:17 PM,1,1230,SOLD
# Total profit: 0

Adamant keel parts,2026-01-16 07:28 PM,1,1891,CANCELLED_BUY
Adamant keel parts,2026-01-16 07:28 PM,1,5553,SOLD
# Total profit: 3662

Willow shortbow,2026-01-16 07:07 PM,1,106,SOLD
# Total profit: 0

Blue d'hide chaps,2026-01-16 07:07 PM,1,2154,SOLD
# Total profit: 0

Mithril pickaxe,2026-01-16 07:07 PM,1,425,SOLD
Mithril pickaxe,2026-01-16 07:07 PM,1,460,SOLD
# Total profit: 0

Dwarf weed seed,2026-01-16 07:19 PM,2,832,CANCELLED_BUY
Dwarf weed seed,2026-01-16 07:21 PM,2,1119,SOLD
# Total profit: 574

